



Epoch: [0/2000] Loss: 9.5032 Acc: 0.00%:  92%|█▊| 22/24 [00:07<00:00,  2.98it/s]
Epoch: [0/2000] Loss: 9.3740 Acc: 0.00%: 100%|██| 24/24 [00:08<00:00,  2.97it/s]


Epoch: [1/2000] Loss: 6.4625 Acc: 0.00%:  71%|█▍| 17/24 [00:05<00:02,  2.98it/s]

Epoch: [1/2000] Loss: 6.2640 Acc: 0.00%: 100%|██| 24/24 [00:07<00:00,  3.02it/s]



Epoch: [2/2000] Loss: 5.2707 Acc: 0.00%:  96%|█▉| 23/24 [00:07<00:00,  2.98it/s]
Epoch: [2/2000] Loss: 5.2667 Acc: 0.00%: 100%|██| 24/24 [00:07<00:00,  3.03it/s]



Epoch: [3/2000] Loss: 4.9223 Acc: 0.00%:  96%|█▉| 23/24 [00:07<00:00,  2.97it/s]
Epoch: [3/2000] Loss: 4.9197 Acc: 0.00%: 100%|██| 24/24 [00:07<00:00,  3.02it/s]


Epoch: [4/2000] Loss: 4.6771 Acc: 0.00%: 100%|██| 24/24 [00:07<00:00,  3.02it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [5/2000] Loss: 4.4403 Acc: 0.00%: 100%|██| 24/24 [00:07<00:00,  3.02it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [6/2000] Loss: 4.2230 Acc: 0.00%: 100%|██| 24/24 [00:07<00:00,  3.01it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [7/2000] Loss: 4.0401 Acc: 0.00%: 100%|██| 24/24 [00:08<00:00,  2.99it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [8/2000] Loss: 3.8935 Acc: 0.00%: 100%|██| 24/24 [00:07<00:00,  3.01it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [9/2000] Loss: 3.7790 Acc: 0.00%: 100%|██| 24/24 [00:07<00:00,  3.01it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [10/2000] Loss: 3.6839 Acc: 0.00%: 100%|█| 24/24 [00:07<00:00,  3.01it/s]
  0%|                                                    | 0/24 [00:00<?, ?it/s]



Epoch: [11/2000] Loss: 3.6148 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.97it/s]
Epoch: [11/2000] Loss: 3.6131 Acc: 0.00%: 100%|█| 24/24 [00:07<00:00,  3.01it/s]



Epoch: [12/2000] Loss: 3.5570 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.96it/s]
Epoch: [12/2000] Loss: 3.5523 Acc: 0.00%: 100%|█| 24/24 [00:07<00:00,  3.01it/s]



Epoch: [13/2000] Loss: 3.5127 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.96it/s]
Epoch: [13/2000] Loss: 3.5040 Acc: 0.00%: 100%|█| 24/24 [00:07<00:00,  3.01it/s]



Epoch: [14/2000] Loss: 3.4656 Acc: 0.00%:  75%|▊| 18/24 [00:06<00:02,  2.95it/s]
