



Epoch: [0/2000] Loss: 8.7152 Acc: 0.00%:  92%|████████████████████████████████████████████    | 22/24 [00:07<00:00,  2.94it/s]
Epoch: [0/2000] Loss: 8.4329 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:08<00:00,  2.93it/s]



Epoch: [1/2000] Loss: 2.7574 Acc: 0.00%:  92%|████████████████████████████████████████████    | 22/24 [00:07<00:00,  2.94it/s]
Epoch: [1/2000] Loss: 2.7277 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [2/2000] Loss: 2.3017 Acc: 0.00%:  92%|████████████████████████████████████████████    | 22/24 [00:07<00:00,  2.97it/s]
Epoch: [2/2000] Loss: 2.3015 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:07<00:00,  3.01it/s]


Epoch: [3/2000] Loss: 2.2436 Acc: 0.00%:  67%|████████████████████████████████                | 16/24 [00:05<00:02,  2.94it/s]

Epoch: [3/2000] Loss: 2.2360 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:08<00:00,  3.00it/s]


Epoch: [4/2000] Loss: 2.1622 Acc: 0.00%:  67%|████████████████████████████████                | 16/24 [00:05<00:02,  2.95it/s]

Epoch: [4/2000] Loss: 2.1765 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:08<00:00,  3.00it/s]



Epoch: [5/2000] Loss: 2.1202 Acc: 0.00%:  92%|████████████████████████████████████████████    | 22/24 [00:07<00:00,  2.94it/s]
Epoch: [5/2000] Loss: 2.1149 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [6/2000] Loss: 2.0533 Acc: 0.00%:  92%|████████████████████████████████████████████    | 22/24 [00:07<00:00,  2.94it/s]
Epoch: [6/2000] Loss: 2.0593 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [7/2000] Loss: 1.9959 Acc: 0.00%:  92%|████████████████████████████████████████████    | 22/24 [00:07<00:00,  2.94it/s]
Epoch: [7/2000] Loss: 2.0063 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [8/2000] Loss: 1.9614 Acc: 0.00%:  92%|████████████████████████████████████████████    | 22/24 [00:07<00:00,  2.94it/s]
Epoch: [8/2000] Loss: 1.9614 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [9/2000] Loss: 1.9285 Acc: 0.00%:  92%|████████████████████████████████████████████    | 22/24 [00:07<00:00,  2.94it/s]
Epoch: [9/2000] Loss: 1.9196 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [10/2000] Loss: 1.8831 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.94it/s]
Epoch: [10/2000] Loss: 1.8795 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [11/2000] Loss: 1.8505 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.94it/s]
Epoch: [11/2000] Loss: 1.8466 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [12/2000] Loss: 1.8174 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.95it/s]
Epoch: [12/2000] Loss: 1.8210 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.99it/s]



Epoch: [13/2000] Loss: 1.7961 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.94it/s]
Epoch: [13/2000] Loss: 1.7948 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [14/2000] Loss: 1.7698 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.94it/s]
Epoch: [14/2000] Loss: 1.7761 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [15/2000] Loss: 1.7469 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.93it/s]
Epoch: [15/2000] Loss: 1.7567 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [16/2000] Loss: 1.7418 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  2.95it/s]
Epoch: [16/2000] Loss: 1.7392 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.97it/s]



Epoch: [17/2000] Loss: 1.7226 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:07<00:01,  2.93it/s]
Epoch: [17/2000] Loss: 1.7274 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [18/2000] Loss: 1.7171 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:07<00:01,  2.93it/s]
Epoch: [18/2000] Loss: 1.7159 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



Epoch: [19/2000] Loss: 1.7074 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:07<00:01,  2.94it/s]
Epoch: [19/2000] Loss: 1.7066 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:08<00:00,  2.98it/s]



