



Epoch: [0/2000] Loss: 9.7828 Acc: 0.00%:  96%|██████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.08it/s]
Epoch: [0/2000] Loss: 9.7365 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:07<00:00,  3.08it/s]


Epoch: [1/2000] Loss: 6.5896 Acc: 0.00%:  75%|████████████████████████████████████            | 18/24 [00:05<00:01,  3.08it/s]
Epoch: [1/2000] Loss: 6.4422 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:07<00:00,  3.12it/s]



Epoch: [2/2000] Loss: 5.5758 Acc: 0.00%:  79%|██████████████████████████████████████          | 19/24 [00:06<00:01,  3.08it/s]
Epoch: [2/2000] Loss: 5.5405 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:07<00:00,  3.13it/s]



Epoch: [3/2000] Loss: 5.2283 Acc: 0.00%:  83%|████████████████████████████████████████        | 20/24 [00:06<00:01,  3.07it/s]
Epoch: [3/2000] Loss: 5.2104 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:07<00:00,  3.12it/s]



Epoch: [4/2000] Loss: 4.9867 Acc: 0.00%:  88%|██████████████████████████████████████████      | 21/24 [00:06<00:00,  3.07it/s]
Epoch: [4/2000] Loss: 4.9750 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [5/2000] Loss: 4.7426 Acc: 0.00%:  92%|████████████████████████████████████████████    | 22/24 [00:07<00:00,  3.06it/s]
Epoch: [5/2000] Loss: 4.7369 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [6/2000] Loss: 4.5205 Acc: 0.00%:  96%|██████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.05it/s]
Epoch: [6/2000] Loss: 4.5176 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]


Epoch: [7/2000] Loss: 4.3374 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [8/2000] Loss: 4.1920 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:07<00:00,  3.11it/s]
Epoch: [9/2000] Loss: 4.0815 Acc: 0.00%:   4%|██                                               | 1/24 [00:00<00:07,  3.24it/s]



Epoch: [9/2000] Loss: 4.0822 Acc: 0.00%:  79%|██████████████████████████████████████          | 19/24 [00:06<00:01,  3.07it/s]
Epoch: [9/2000] Loss: 4.0748 Acc: 0.00%: 100%|████████████████████████████████████████████████| 24/24 [00:07<00:00,  3.11it/s]



Epoch: [10/2000] Loss: 3.9888 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  3.02it/s]
Epoch: [10/2000] Loss: 3.9824 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]



Epoch: [11/2000] Loss: 3.9119 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:06<00:00,  3.06it/s]
Epoch: [11/2000] Loss: 3.9100 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [12/2000] Loss: 3.8574 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.06it/s]
Epoch: [12/2000] Loss: 3.8548 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.11it/s]



Epoch: [13/2000] Loss: 3.8063 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.06it/s]
Epoch: [13/2000] Loss: 3.8056 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.11it/s]


Epoch: [14/2000] Loss: 3.7685 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [15/2000] Loss: 3.7364 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
Epoch: [16/2000] Loss: 3.6895 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:07,  3.23it/s]



Epoch: [16/2000] Loss: 3.7104 Acc: 0.00%:  79%|█████████████████████████████████████▏         | 19/24 [00:06<00:01,  3.08it/s]
Epoch: [16/2000] Loss: 3.7079 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]



Epoch: [17/2000] Loss: 3.6855 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  3.05it/s]
Epoch: [17/2000] Loss: 3.6852 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.08it/s]



Epoch: [18/2000] Loss: 3.6643 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:06<00:00,  3.06it/s]
Epoch: [18/2000] Loss: 3.6657 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [19/2000] Loss: 3.6503 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.06it/s]
Epoch: [19/2000] Loss: 3.6504 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]



Epoch: [20/2000] Loss: 3.6319 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.06it/s]
Epoch: [20/2000] Loss: 3.6326 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.11it/s]


Epoch: [21/2000] Loss: 3.6208 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [22/2000] Loss: 3.6076 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.09it/s]
Epoch: [23/2000] Loss: 3.6202 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:07,  3.23it/s]



Epoch: [23/2000] Loss: 3.5992 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
Epoch: [24/2000] Loss: 3.6462 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:07,  3.23it/s]



Epoch: [24/2000] Loss: 3.5872 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  3.06it/s]
Epoch: [24/2000] Loss: 3.5895 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [25/2000] Loss: 3.5784 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:06<00:00,  3.06it/s]
Epoch: [25/2000] Loss: 3.5789 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [26/2000] Loss: 3.5714 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.06it/s]
Epoch: [26/2000] Loss: 3.5717 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [27/2000] Loss: 3.5623 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.06it/s]
Epoch: [27/2000] Loss: 3.5621 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]


Epoch: [28/2000] Loss: 3.5560 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
  0%|                                                                                                  | 0/24 [00:00<?, ?it/s]



Epoch: [29/2000] Loss: 3.5487 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
Epoch: [30/2000] Loss: 3.6020 Acc: 0.00%:   4%|██                                              | 1/24 [00:00<00:07,  3.23it/s]



Epoch: [30/2000] Loss: 3.5434 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]
Epoch: [31/2000] Loss: 3.5266 Acc: 0.00%:   8%|████                                            | 2/24 [00:00<00:07,  3.13it/s]



Epoch: [31/2000] Loss: 3.5345 Acc: 0.00%:  83%|███████████████████████████████████████▏       | 20/24 [00:06<00:01,  3.05it/s]
Epoch: [31/2000] Loss: 3.5392 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [32/2000] Loss: 3.5364 Acc: 0.00%:  88%|█████████████████████████████████████████▏     | 21/24 [00:06<00:00,  3.06it/s]
Epoch: [32/2000] Loss: 3.5356 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [33/2000] Loss: 3.5309 Acc: 0.00%:  92%|███████████████████████████████████████████    | 22/24 [00:07<00:00,  3.06it/s]
Epoch: [33/2000] Loss: 3.5306 Acc: 0.00%: 100%|███████████████████████████████████████████████| 24/24 [00:07<00:00,  3.10it/s]



Epoch: [34/2000] Loss: 3.5277 Acc: 0.00%:  96%|█████████████████████████████████████████████  | 23/24 [00:07<00:00,  3.06it/s]
